NCM,NCM_DESCRICAO_ORIGINAL,NCM_DESCRICAO_HIERARQUICA
61142000,- De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61143000,- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, de malha - De fibras sintéticas ou artificiais"
61149010,De lã ou de pelos finos,"Vestuário e seus acessórios, de malha - De lã ou de pelos finos"
61149090,Outros,"Vestuário e seus acessórios, de malha - Outros"
61151011,"De fibras sintéticas, de título inferior a 67 decitex por fio simples","De fibras sintéticas, de título inferior a 67 decitex por fio simples"
61151012,"De fibras sintéticas, de título igual ou superior a 67 decitex por fio simples","De fibras sintéticas, de título igual ou superior a 67 decitex por fio simples"
61151013,De lã ou de pelos finos,"Vestuário e seus acessórios, de malha - De lã ou de pelos finos"
61151014,De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61151019,De outras matérias têxteis,"Vestuário e seus acessórios, de malha - De outras matérias têxteis"
61151021,De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, de malha - De fibras sintéticas ou artificiais"
61151022,De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61151029,De outras matérias têxteis,"Vestuário e seus acessórios, de malha - De outras matérias têxteis"
61151091,De lã ou de pelos finos,"Vestuário e seus acessórios, de malha - De lã ou de pelos finos"
61151092,De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61151093,De fibras sintéticas,"Vestuário e seus acessórios, de malha - De fibras sintéticas"
61151099,De outras matérias têxteis,"Vestuário e seus acessórios, de malha - De outras matérias têxteis"
61152100,"-- De fibras sintéticas, de título inferior a 67 decitex por fio simples","Vestuário e seus acessórios, de malha - De fibras sintéticas, de título inferior a 67 decitex por fio simples"
61152200,"-- De fibras sintéticas, de título igual ou superior a 67 decitex por fio simples","Vestuário e seus acessórios, de malha - De fibras sintéticas, de título igual ou superior a 67 decitex por fio simples"
61152910,De lã ou de pelos finos,"Vestuário e seus acessórios, de malha - De lã ou de pelos finos"
61152920,De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61152990,Outras,"Vestuário e seus acessórios, de malha - Outras"
61153010,De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, de malha - De fibras sintéticas ou artificiais"
61153020,De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61153090,De outras matérias têxteis,"Vestuário e seus acessórios, de malha - De outras matérias têxteis"
61159400,-- De lã ou de pelos finos,"Vestuário e seus acessórios, de malha - De lã ou de pelos finos"
61159500,-- De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61159600,-- De fibras sintéticas,"Vestuário e seus acessórios, de malha - De fibras sintéticas"
61159900,-- De outras matérias têxteis,"Vestuário e seus acessórios, de malha - De outras matérias têxteis"
61161000,"- Impregnadas, revestidas, recobertas ou estratificadas, de plástico ou de borracha","Vestuário e seus acessórios, de malha - Impregnadas, revestidas, recobertas ou estratificadas, de plástico ou de borracha"
61169100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, de malha - De lã ou de pelos finos"
61169200,-- De algodão,"Vestuário e seus acessórios, de malha - De algodão"
61169300,-- De fibras sintéticas,"Vestuário e seus acessórios, de malha - De fibras sintéticas"
61169900,-- De outras matérias têxteis,"Vestuário e seus acessórios, de malha - De outras matérias têxteis"
61171000,"- Xales, echarpes, lenços de pescoço, cachenês, cachecóis, mantilhas, véus e semelhantes","Vestuário e seus acessórios, de malha - Xales, echarpes, lenços de pescoço, cachenês, cachecóis, mantilhas, véus e semelhantes"
61178010,"Gravatas, gravatas-borboletas e plastrons","Vestuário e seus acessórios, de malha - Gravatas, gravatas-borboletas e plastrons"
61178090,Outros,"Vestuário e seus acessórios, de malha - Outros"
61179000,- Partes,"Vestuário e seus acessórios, de malha - Partes"
62012000,- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62013000,- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62014000,- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62019000,- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62022000,- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62023000,- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62024000,- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62029000,- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62031100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62031200,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62031900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62032200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62032300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62032910,De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62032990,Outros,"Vestuário e seus acessórios, exceto de malha - Outros"
62033100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62033200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62033300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62033900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62034100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62034200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62034300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62034900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62041100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62041200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62041300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62041900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62042100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62042200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62042300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62042900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62043100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62043200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62043300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62043900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62044100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62044200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62044300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62044400,-- De fibras artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras artificiais"
62044900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62045100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62045200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62045300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62045900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62046100,-- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62046200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62046300,-- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62046900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62052000,- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62053000,- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62059010,De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62059090,Outras,"Vestuário e seus acessórios, exceto de malha - Outras"
62061000,- De seda ou de desperdícios de seda,"Vestuário e seus acessórios, exceto de malha - De seda ou de desperdícios de seda"
62062000,- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62063000,- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62064000,- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62069000,- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62071100,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62071900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62072100,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62072200,-- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62072900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62079100,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62079910,De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62079990,Outros,"Vestuário e seus acessórios, exceto de malha - Outros"
62081100,-- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62081900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62082100,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62082200,-- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62082900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62089100,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62089200,-- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62089900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62092000,- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62093000,- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62099010,De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62099090,Outras,"Vestuário e seus acessórios, exceto de malha - Outras"
62101000,- Com as matérias das posições 56.02 ou 56.03,"Vestuário e seus acessórios, exceto de malha - Com as matérias das posições 56.02 ou 56.03"
62102000,"- Outro vestuário, do tipo abrangido pela posição 62.01","Vestuário e seus acessórios, exceto de malha - Outro vestuário, do tipo abrangido pela posição 62.01"
62103000,"- Outro vestuário, do tipo abrangido pela posição 62.02","Vestuário e seus acessórios, exceto de malha - Outro vestuário, do tipo abrangido pela posição 62.02"
62104000,- Outro vestuário de uso masculino,"Vestuário e seus acessórios, exceto de malha - Outro vestuário de uso masculino"
62105000,- Outro vestuário de uso feminino,"Vestuário e seus acessórios, exceto de malha - Outro vestuário de uso feminino"
62111100,-- De uso masculino,"Vestuário e seus acessórios, exceto de malha - De uso masculino"
62111200,-- De uso feminino,"Vestuário e seus acessórios, exceto de malha - De uso feminino"
62112000,"- Macacões (Fatos-macacos*) e conjuntos, de esqui","Vestuário e seus acessórios, exceto de malha - Macacões (Fatos-macacos*) e conjuntos, de esqui"
62113200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62113300,-- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62113910,De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62113990,Outras,"Vestuário e seus acessórios, exceto de malha - Outras"
62114200,-- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62114300,-- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62114900,-- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62121000,- Sutiãs e bustiês (sutiãs de cós alto*),"Vestuário e seus acessórios, exceto de malha - Sutiãs e bustiês (sutiãs de cós alto*)"
62122000,- Cintas e cintas-calças,"Vestuário e seus acessórios, exceto de malha - Cintas e cintas-calças"
62123000,- Modeladores de torso inteiro (Cintas-sutiãs*),"Vestuário e seus acessórios, exceto de malha - Modeladores de torso inteiro (Cintas-sutiãs*)"
62129000,- Outros,"Vestuário e seus acessórios, exceto de malha - Outros"
62132000,- De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62139010,De seda ou de desperdícios de seda,"Vestuário e seus acessórios, exceto de malha - De seda ou de desperdícios de seda"
62139090,Outros,"Vestuário e seus acessórios, exceto de malha - Outros"
62141000,- De seda ou de desperdícios de seda,"Vestuário e seus acessórios, exceto de malha - De seda ou de desperdícios de seda"
62142000,- De lã ou de pelos finos,"Vestuário e seus acessórios, exceto de malha - De lã ou de pelos finos"
62143000,- De fibras sintéticas,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas"
62144000,- De fibras artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras artificiais"
62149010,De algodão,"Vestuário e seus acessórios, exceto de malha - De algodão"
62149090,Outros,"Vestuário e seus acessórios, exceto de malha - Outros"
62151000,- De seda ou de desperdícios de seda,"Vestuário e seus acessórios, exceto de malha - De seda ou de desperdícios de seda"
62152000,- De fibras sintéticas ou artificiais,"Vestuário e seus acessórios, exceto de malha - De fibras sintéticas ou artificiais"
62159000,- De outras matérias têxteis,"Vestuário e seus acessórios, exceto de malha - De outras matérias têxteis"
62160000,"Luvas, mitenes e semelhantes.","Vestuário e seus acessórios, exceto de malha - Luvas, mitenes e semelhantes."
62171000,- Acessórios,"Vestuário e seus acessórios, exceto de malha - Acessórios"
62179000,- Partes,"Vestuário e seus acessórios, exceto de malha - Partes"
63011000,"- Cobertores e mantas, elétricos","Outros artefatos têxteis confeccionados - Cobertores e mantas, elétricos"
63012000,"- Cobertores e mantas (exceto os elétricos), de lã ou de pelos finos","Outros artefatos têxteis confeccionados - Cobertores e mantas (exceto os elétricos), de lã ou de pelos finos"
63013000,"- Cobertores e mantas (exceto os elétricos), de algodão","Outros artefatos têxteis confeccionados - Cobertores e mantas (exceto os elétricos), de algodão"
63014000,"- Cobertores e mantas (exceto os elétricos), de fibras sintéticas","Outros artefatos têxteis confeccionados - Cobertores e mantas (exceto os elétricos), de fibras sintéticas"
63019000,- Outros cobertores e mantas,Outros artefatos têxteis confeccionados - Outros cobertores e mantas
63021000,"- Roupa de cama, de malha","Outros artefatos têxteis confeccionados - Roupa de cama, de malha"
63022100,-- De algodão,Outros artefatos têxteis confeccionados - De algodão
63022200,-- De fibras sintéticas ou artificiais,Outros artefatos têxteis confeccionados - De fibras sintéticas ou artificiais
63022900,-- De outras matérias têxteis,Outros artefatos têxteis confeccionados - De outras matérias têxteis
63023100,-- De algodão,Outros artefatos têxteis confeccionados - De algodão
63023200,-- De fibras sintéticas ou artificiais,Outros artefatos têxteis confeccionados - De fibras sintéticas ou artificiais
63023900,-- De outras matérias têxteis,Outros artefatos têxteis confeccionados - De outras matérias têxteis
63024000,"- Roupa de mesa, de malha","Outros artefatos têxteis confeccionados - Roupa de mesa, de malha"
63025100,-- De algodão,Outros artefatos têxteis confeccionados - De algodão
63025300,-- De fibras sintéticas ou artificiais,Outros artefatos têxteis confeccionados - De fibras sintéticas ou artificiais
63025910,De linho,Outros artefatos têxteis confeccionados - De linho
63025990,Outras,Outros artefatos têxteis confeccionados - Outras
63026000,"- Roupa de toucador ou de cozinha, de tecidos atoalhados (turcos) de algodão","Outros artefatos têxteis confeccionados - Roupa de toucador ou de cozinha, de tecidos atoalhados (turcos) de algodão"
63029100,-- De algodão,Outros artefatos têxteis confeccionados - De algodão
63029300,-- De fibras sintéticas ou artificiais,Outros artefatos têxteis confeccionados - De fibras sintéticas ou artificiais
63029910,De linho,Outros artefatos têxteis confeccionados - De linho
63029990,Outras,Outros artefatos têxteis confeccionados - Outras
63031200,-- De fibras sintéticas,Outros artefatos têxteis confeccionados - De fibras sintéticas
63031910,De algodão,Outros artefatos têxteis confeccionados - De algodão
63031990,Outros,Outros artefatos têxteis confeccionados - Outros
63039100,-- De algodão,Outros artefatos têxteis confeccionados - De algodão
63039200,-- De fibras sintéticas,Outros artefatos têxteis confeccionados - De fibras sintéticas
63039900,-- De outras matérias têxteis,Outros artefatos têxteis confeccionados - De outras matérias têxteis
63041100,-- De malha,Outros artefatos têxteis confeccionados - De malha
63041910,De algodão,Outros artefatos têxteis confeccionados - De algodão
63041990,De outras matérias têxteis,Outros artefatos têxteis confeccionados - De outras matérias têxteis
63042000,- Mosquiteiros para camas mencionados na Nota de subposição 1 do presente Capítulo,Outros artefatos têxteis confeccionados - Mosquiteiros para camas mencionados na Nota de subposição 1 do presente Capítulo
63049100,-- De malha,Outros artefatos têxteis confeccionados - De malha
63049200,"-- De algodão, exceto de malha","Outros artefatos têxteis confeccionados - De algodão, exceto de malha"
63049300,"-- De fibras sintéticas, exceto de malha","Outros artefatos têxteis confeccionados - De fibras sintéticas, exceto de malha"
63049900,"-- De outras matérias têxteis, exceto de malha","Outros artefatos têxteis confeccionados - De outras matérias têxteis, exceto de malha"
63051000,- De juta ou de outras fibras têxteis liberianas da posição 53.03,Outros artefatos têxteis confeccionados - De juta ou de outras fibras têxteis liberianas da posição 53.03
63052000,- De algodão,Outros artefatos têxteis confeccionados - De algodão
63053200,-- Recipientes flexíveis para produtos a granel,Outros artefatos têxteis confeccionados - Recipientes flexíveis para produtos a granel
63053310,De malha,Outros artefatos têxteis confeccionados - De malha
63053390,Outros,Outros artefatos têxteis confeccionados - Outros
63053900,-- Outros,Outros artefatos têxteis confeccionados - Outros
63059000,- De outras matérias têxteis,Outros artefatos têxteis confeccionados - De outras matérias têxteis
63061200,-- De fibras sintéticas,Outros artefatos têxteis confeccionados - De fibras sintéticas
63061910,De algodão,Outros artefatos têxteis confeccionados - De algodão
63061990,Outros,Outros artefatos têxteis confeccionados - Outros
63062200,-- De fibras sintéticas,Outros artefatos têxteis confeccionados - De fibras sintéticas
63062910,De algodão,Outros artefatos têxteis confeccionados - De algodão
63062990,Outros,Outros artefatos têxteis confeccionados - Outros
63063010,De fibras sintéticas,Outros artefatos têxteis confeccionados - De fibras sintéticas
63063090,De outras matérias têxteis,Outros artefatos têxteis confeccionados - De outras matérias têxteis
63064010,De algodão,Outros artefatos têxteis confeccionados - De algodão
63064090,De outras matérias têxteis,Outros artefatos têxteis confeccionados - De outras matérias têxteis
63069000,- Outros,Outros artefatos têxteis confeccionados - Outros
63071000,"- Rodilhas, esfregões, panos de prato ou de cozinha, flanelas e artigos de limpeza semelhantes","Outros artefatos têxteis confeccionados - Rodilhas, esfregões, panos de prato ou de cozinha, flanelas e artigos de limpeza semelhantes"
63072000,- Cintos e coletes salva-vidas,Outros artefatos têxteis confeccionados - Cintos e coletes salva-vidas
63079010,De falso tecido (tecido não tecido),De falso tecido (tecido não tecido)
63079020,"Artigo tubular com tratamento ignífugo, próprio para saída de emergência de pessoas, mesmo com seus elementos de montagem","Artigo tubular com tratamento ignífugo, próprio para saída de emergência de pessoas, mesmo com seus elementos de montagem"
63079090,Outros,Outros artefatos têxteis confeccionados - Outros
63080000,"Sortidos constituídos por cortes de tecido e fios, mesmo com acessórios, para confecção de tapetes, tapeçarias, toalhas de mesa ou guardanapos, bordados, ou artigos têxteis semelhantes, em embalagens para venda a retalho.","Sortidos constituídos por cortes de tecido e fios, mesmo com acessórios, para confecção de tapetes, tapeçarias, toalhas de mesa ou guardanapos, bordados, ou artigos têxteis semelhantes, em embalagens para venda a retalho."
63090010,"Vestuário, seus acessórios, e suas partes","Outros artefatos têxteis confeccionados - Vestuário, seus acessórios, e suas partes"
63090090,Outros,Outros artefatos têxteis confeccionados - Outros
63101000,- Selecionados,Outros artefatos têxteis confeccionados - Selecionados
63109000,- Outros,Outros artefatos têxteis confeccionados - Outros
64011000,- Calçado com biqueira protetora de metal,"Calçados, polainas e artefatos semelhantes - Calçado com biqueira protetora de metal"
64019200,"-- Cobrindo o tornozelo, mas não o joelho","Calçados, polainas e artefatos semelhantes - Cobrindo o tornozelo, mas não o joelho"
64019910,Cobrindo o joelho,"Calçados, polainas e artefatos semelhantes - Cobrindo o joelho"
64019990,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64021200,-- Calçado para esqui e para surfe de neve,"Calçados, polainas e artefatos semelhantes - Calçado para esqui e para surfe de neve"
64021900,-- Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64022000,"- Calçado com parte superior em tiras ou correias, fixados à sola por pregos, tachas, pinos e semelhantes","Calçados, polainas e artefatos semelhantes - Calçado com parte superior em tiras ou correias, fixados à sola por pregos, tachas, pinos e semelhantes"
64029110,Com biqueira protetora de metal,"Calçados, polainas e artefatos semelhantes - Com biqueira protetora de metal"
64029190,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64029910,Com biqueira protetora de metal,"Calçados, polainas e artefatos semelhantes - Com biqueira protetora de metal"
64029990,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64031200,-- Calçado para esqui e para surfe de neve,"Calçados, polainas e artefatos semelhantes - Calçado para esqui e para surfe de neve"
64031900,-- Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64032000,- Calçado com sola exterior de couro natural e parte superior constituída por tiras de couro natural passando pelo peito do pé e envolvendo o dedo grande,"Calçados, polainas e artefatos semelhantes - Calçado com sola exterior de couro natural e parte superior constituída por tiras de couro natural passando pelo peito do pé e envolvendo o dedo grande"
64034000,"- Outro calçado, com biqueira protetora de metal","Calçados, polainas e artefatos semelhantes - Outro calçado, com biqueira protetora de metal"
64035110,Com sola de madeira e desprovido de palmilha,"Calçados, polainas e artefatos semelhantes - Com sola de madeira e desprovido de palmilha"
64035190,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64035910,Com sola de madeira e desprovido de palmilha,"Calçados, polainas e artefatos semelhantes - Com sola de madeira e desprovido de palmilha"
64035990,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64039110,Com sola de madeira e desprovido de palmilha,"Calçados, polainas e artefatos semelhantes - Com sola de madeira e desprovido de palmilha"
64039190,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64039910,Com sola de madeira e desprovido de palmilha,"Calçados, polainas e artefatos semelhantes - Com sola de madeira e desprovido de palmilha"
64039990,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64041100,"-- Calçado para esporte; calçado para tênis, basquetebol, ginástica, treino e semelhantes","Calçados, polainas e artefatos semelhantes - Calçado para esporte; calçado para tênis, basquetebol, ginástica, treino e semelhantes"
64041900,-- Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64042000,- Calçado com sola exterior de couro natural ou reconstituído,"Calçados, polainas e artefatos semelhantes - Calçado com sola exterior de couro natural ou reconstituído"
64051010,Com sola exterior de borracha ou plástico e parte superior de couro reconstituído,Com sola exterior de borracha ou plástico e parte superior de couro reconstituído
64051020,Com sola exterior de couro natural ou reconstituído e parte superior de couro reconstituído,Com sola exterior de couro natural ou reconstituído e parte superior de couro reconstituído
64051090,Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64052000,- Com parte superior de matérias têxteis,"Calçados, polainas e artefatos semelhantes - Com parte superior de matérias têxteis"
64059000,- Outro,"Calçados, polainas e artefatos semelhantes - Outro"
64061000,"- Partes superiores de calçado e seus componentes, exceto contrafortes e biqueiras rígidas","Calçados, polainas e artefatos semelhantes - Partes superiores de calçado e seus componentes, exceto contrafortes e biqueiras rígidas"
64062000,"- Solas exteriores e saltos, de borracha ou plástico","Calçados, polainas e artefatos semelhantes - Solas exteriores e saltos, de borracha ou plástico"
64069010,"Solas exteriores e saltos, de couro natural ou reconstituído","Solas exteriores e saltos, de couro natural ou reconstituído"
64069020,Palmilhas,"Calçados, polainas e artefatos semelhantes - Palmilhas"
64069090,Outros,"Calçados, polainas e artefatos semelhantes - Outros"
65010000,"Esboços não enformados nem na copa nem na aba, discos e cilindros, mesmo cortados no sentido da altura, de feltro, para chapéus.","Esboços não enformados nem na copa nem na aba, discos e cilindros, mesmo cortados no sentido da altura, de feltro, para chapéus."
65020010,"De palha fina (manila, panamá e semelhantes)","De palha fina (manila, panamá e semelhantes)"
65020090,Outros,Chapéus e artefatos de uso semelhante - Outros
65040010,"De palha fina (manila, panamá e semelhantes)","De palha fina (manila, panamá e semelhantes)"
65040090,Outros,Chapéus e artefatos de uso semelhante - Outros
65050011,De algodão,Chapéus e artefatos de uso semelhante - De algodão
65050012,De fibras sintéticas ou artificiais,Chapéus e artefatos de uso semelhante - De fibras sintéticas ou artificiais
65050019,De outras matérias têxteis,Chapéus e artefatos de uso semelhante - De outras matérias têxteis
65050021,De algodão,Chapéus e artefatos de uso semelhante - De algodão
65050022,De fibras sintéticas ou artificiais,Chapéus e artefatos de uso semelhante - De fibras sintéticas ou artificiais
65050029,De outras matérias têxteis,Chapéus e artefatos de uso semelhante - De outras matérias têxteis
65050031,De algodão,Chapéus e artefatos de uso semelhante - De algodão
65050032,De fibras sintéticas ou artificiais,Chapéus e artefatos de uso semelhante - De fibras sintéticas ou artificiais
65050039,De outras matérias têxteis,Chapéus e artefatos de uso semelhante - De outras matérias têxteis
65050090,Outros,Chapéus e artefatos de uso semelhante - Outros
65061000,"- Capacetes e artigos de uso semelhante, de proteção","Chapéus e artefatos de uso semelhante - Capacetes e artigos de uso semelhante, de proteção"
65069100,-- De borracha ou de plástico,Chapéus e artefatos de uso semelhante - De borracha ou de plástico
65069900,-- De outras matérias,Chapéus e artefatos de uso semelhante - De outras matérias
65070000,"Carneiras, forros, capas, armações, palas e barbicachos (francaletes*), para chapéus e artigos de uso semelhante.","Carneiras, forros, capas, armações, palas e barbicachos (francaletes*), para chapéus e artigos de uso semelhante."
66011000,- Guarda-sóis de jardim e artigos semelhantes,"Guarda-chuvas, sombrinhas e bengalas - Guarda-sóis de jardim e artigos semelhantes"
66019110,Cobertos de tecido de seda ou de matérias têxteis sintéticas ou artificiais,Cobertos de tecido de seda ou de matérias têxteis sintéticas ou artificiais
66019190,Outros,"Guarda-chuvas, sombrinhas e bengalas - Outros"
66019900,-- Outros,"Guarda-chuvas, sombrinhas e bengalas - Outros"
66020000,"Bengalas, bengalas-assentos, chicotes, pingalins e artigos semelhantes.","Bengalas, bengalas-assentos, chicotes, pingalins e artigos semelhantes."
66032000,"- Armações montadas, mesmo com hastes ou cabos, para guarda-chuvas, sombrinhas ou guarda-sóis","Guarda-chuvas, sombrinhas e bengalas - Armações montadas, mesmo com hastes ou cabos, para guarda-chuvas, sombrinhas ou guarda-sóis"
66039000,- Outros,"Guarda-chuvas, sombrinhas e bengalas - Outros"
67010000,"Peles e outras partes de aves, com as suas penas ou penugem, penas, partes de penas, penugem e artigos destas matérias, exceto os produtos da posição 05.05, bem como os cálamos e outros canos de","Peles e outras partes de aves, com as suas penas ou penugem, penas, partes de penas, penugem e artigos destas matérias, exceto os produtos da posição 05.05, bem como os cálamos e outros canos de"
67010000,"Pena solta; pele com pena, inteira, em parte, emendada ou não","Pena solta; pele com pena, inteira, em parte, emendada ou não"
