NCM,NCM_DESCRICAO_ORIGINAL,NCM_DESCRICAO_HIERARQUICA
02063000,"- Da espécie suína, frescas ou refrigeradas","Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Da espécie suína, frescas ou refrigeradas"
02064100,-- Fígados,"Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Fígados"
02064900,-- Outras,"Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Outras"
02068000,"- Outras, frescas ou refrigeradas","Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Outras, frescas ou refrigeradas"
02069000,"- Outras, congeladas","Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Outras, congeladas"
02071100,"-- Não cortadas em pedaços, frescas ou refrigeradas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Não cortadas em pedaços, frescas ou refrigeradas"
02071210,Com miudezas,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Com miudezas
02071220,Sem miudezas,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Sem miudezas
02071300,"-- Pedaços e miudezas, frescos ou refrigerados","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Pedaços e miudezas, frescos ou refrigerados"
02071411,Peitos,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Peitos
02071412,Coxas com sobrecoxas,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Coxas com sobrecoxas
02071413,Asas,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Asas
02071419,Outros,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Outros
02071421,"Peitos, coxas e sobrecoxas, formando uma só peça","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Peitos, coxas e sobrecoxas, formando uma só peça"
02071422,Peitos,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Peitos
02071423,Coxas com sobrecoxas,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Coxas com sobrecoxas
